municipality,total_pop,total_households,single_households,elderly_65,elderly_75,single_ratio,elderly_ratio
静岡市,693389.0,296944.0,103930.0,209628.0,111391.0,0.349998652944663,0.3023238038099826
浜松市,790718.0,320221.0,102460.0,220925.0,115331.0,0.31996652311997026,0.2793979648876085
沼津市,189386.0,83299.0,30215.0,60488.0,31773.0,0.3627294445311468,0.31939002883000855
熱海市,34208.0,18380.0,9384.0,16376.0,9544.0,0.5105549510337323,0.47871842843779233
三島市,107783.0,46047.0,15326.0,31677.0,16327.0,0.3328338436814559,0.29389606895336
富士宮市,128105.0,51315.0,15141.0,37925.0,18709.0,0.29505992399883074,0.29604621209164356
伊東市,65491.0,30756.0,11384.0,27965.0,15093.0,0.37013915983873064,0.42700523736085877
島田市,95719.0,35344.0,8694.0,30176.0,15877.0,0.24598234495246718,0.3152561142510891
富士市,245392.0,97177.0,28127.0,69314.0,35530.0,0.28944091708943476,0.28246234596074854
磐田市,166672.0,64969.0,19177.0,47581.0,23393.0,0.2951715433514445,0.2854768647403283
焼津市,136845.0,53171.0,14783.0,40865.0,20998.0,0.278027496191533,0.29862252913880666
掛川市,114954.0,43682.0,12293.0,32043.0,15638.0,0.28142026463989744,0.27874628112114413
藤枝市,141342.0,53920.0,13450.0,42602.0,21481.0,0.24944362017804153,0.30141076254757965
御殿場市,86614.0,33406.0,10864.0,22176.0,11388.0,0.3252110399329462,0.25603251206502414
袋井市,87864.0,34018.0,10361.0,21310.0,10150.0,0.30457404903286495,0.2425339160520805
下田市,20183.0,9629.0,3769.0,8535.0,4697.0,0.391421746806522,0.4228806421245603
裾野市,50911.0,20694.0,6748.0,13667.0,6641.0,0.32608485551367544,0.26844886173911336
湖西市,57885.0,22984.0,6906.0,16070.0,7829.0,0.3004698920988514,0.2776194178111773
伊豆市,28190.0,11423.0,3316.0,11999.0,6437.0,0.2902915171145934,0.4256473926924441
御前崎市,31103.0,11484.0,3272.0,9537.0,4652.0,0.2849181469871125,0.3066263704465807
菊川市,47789.0,17732.0,5035.0,12864.0,6191.0,0.28394992104669525,0.2691832848563477
伊豆の国市,46804.0,19051.0,5840.0,15750.0,8101.0,0.30654558815810196,0.33650970002563885
牧之原市,43502.0,15881.0,4171.0,13834.0,7030.0,0.26264089163150933,0.31800836743138244
東伊豆町,11488.0,5486.0,2299.0,5516.0,3007.0,0.4190667152752461,0.4801532033426184
河津町,6870.0,2933.0,967.0,2960.0,1572.0,0.3296965564268667,0.43085880640465796
南伊豆町,7877.0,3305.0,1084.0,3873.0,2047.0,0.3279878971255673,0.491684651517075
松崎町,6038.0,2660.0,850.0,2948.0,1644.0,0.31954887218045114,0.4882411394501491
西伊豆町,7090.0,3397.0,1287.0,3654.0,2019.0,0.37886370326758906,0.5153737658674189
函南町,36794.0,14757.0,3991.0,12069.0,6132.0,0.2704479230195839,0.32801543729955973
清水町,31710.0,12956.0,4022.0,8285.0,4480.0,0.31043531954306886,0.26127404604225796
長泉町,43336.0,17455.0,5391.0,9556.0,5120.0,0.3088513319965626,0.22050950710725495
小山町,18568.0,6367.0,1805.0,5569.0,2921.0,0.28349301083712897,0.2999246014648858
吉田町,28919.0,11259.0,3530.0,7468.0,3643.0,0.3135269562128075,0.25823852830319166
川根本町,6206.0,2632.0,853.0,3076.0,1892.0,0.3240881458966565,0.4956493715758943
森町,17457.0,6235.0,1476.0,6001.0,3129.0,0.2367281475541299,0.34375895056424355
